time;month;week day;quantity;totalprice
02/12/2010;dezembro;quinta-feira;31194;47570.5299999999
03/12/2010;dezembro;sexta-feira;12080;41308.6899999999
04/12/2010;dezembro;sabado;15428;36497.416
05/12/2010;dezembro;domingo;13660;25853.2000000002
06/12/2010;dezembro;segunda-feira;21195;53322.12
07/12/2010;dezembro;terca-feira;24139;96860.6300000012
08/12/2010;dezembro;quarta-feira;20467;41354.5599999999
09/12/2010;dezembro;quinta-feira;16823;43993.6300000001
10/12/2010;dezembro;sexta-feira;19131;54282.6099999999
11/12/2010;dezembro;sabado;15428;36497.416
12/12/2010;dezembro;domingo;8194;13738.48
13/12/2010;dezembro;segunda-feira;17425;37113.2500000001
14/12/2010;dezembro;terca-feira;19610;42475.9100000002
15/12/2010;dezembro;quarta-feira;18359;30248.7300000001
16/12/2010;dezembro;quinta-feira;28332;47748.0899999999
17/12/2010;dezembro;sexta-feira;9713;34357.2499999997
18/12/2010;dezembro;sabado;15428;36497.416
19/12/2010;dezembro;domingo;3307;6653.93999999999
20/12/2010;dezembro;segunda-feira;14122;23507.76
21/12/2010;dezembro;terca-feira;8291;37177.9599999999
22/12/2010;dezembro;quarta-feira;2371;5488.85
23/12/2010;dezembro;quinta-feira;4711;10394.71
24/12/2010;dezembro;sexta-feira;15428;36497.416
25/12/2010;dezembro;sabado;15428;36497.416
26/12/2010;dezembro;domingo;15428;36497.416
27/12/2010;dezembro;segunda-feira;15428;36497.416
28/12/2010;dezembro;terca-feira;15428;36497.416
29/12/2010;dezembro;quarta-feira;15428;36497.416
30/12/2010;dezembro;quinta-feira;15428;36497.416
31/12/2010;dezembro;sexta-feira;15428;36497.416
01/01/2011;janeiro;sabado;13569;24413.2968182
02/01/2011;janeiro;domingo;13569;24413.2968182
03/01/2011;janeiro;segunda-feira;13569;24413.2968182
04/01/2011;janeiro;terca-feira;8385;15478.52
05/01/2011;janeiro;quarta-feira;19071;31243.29
06/01/2011;janeiro;quinta-feira;17933;32429.45
07/01/2011;janeiro;sexta-feira;13276;22656.7000000001
08/01/2011;janeiro;sabado;13569;24413.2968182
09/01/2011;janeiro;domingo;7398;14306.04
10/01/2011;janeiro;segunda-feira;10982;20471.39
11/01/2011;janeiro;terca-feira;26662;61971.8900000002
12/01/2011;janeiro;quarta-feira;9110;21828.84
13/01/2011;janeiro;quinta-feira;9327;18262.53
14/01/2011;janeiro;sexta-feira;7361;17911.67
15/01/2011;janeiro;sabado;13569;24413.2968182
16/01/2011;janeiro;domingo;4204;7242.05999999998
17/01/2011;janeiro;segunda-feira;12054;26239.4600000002
18/01/2011;janeiro;terca-feira;43534;92427.2800000002
